connector_pin,module_net,zero_based_bond_pad,coldfoot_pad_instance,hat_net
1,/pad_7,7,bidir[5].pad,CF_BIDIR_5
2,/pad_6,6,bidir[4].pad,CF_BIDIR_4
3,/pad_5,5,bidir[3].pad,CF_BIDIR_3
4,/pad_4,4,bidir[2].pad,CF_BIDIR_2
5,/pad_3,3,bidir[1].pad,CF_TELEMETRY
6,/pad_2,2,bidir[0].pad,CF_UART_TX
7,/pad_1,1,rst_n_pad,CF_RESET_N
8,/pad_0,0,clk_pad,CF_MESH_CLK
9,VDD_IO_3,73,dvdd_pads[5].pad,CF_3V3
10,GND,8,dvss_pads[0].pad,GND
11,VDD_CORE_1,71,vdd_pads[1].pad,CF_3V3
12,/pad_69,69,inputs[11].pad,CF_IN_11
13,/pad_68,68,inputs[10].pad,CF_IN_10
14,/pad_67,67,inputs[9].pad,CF_IN_9
15,/pad_66,66,inputs[8].pad,CF_IN_8
16,/pad_65,65,inputs[7].pad,CF_IN_7
17,/pad_64,64,inputs[6].pad,CF_IN_6
18,GND,8,dvss_pads[0].pad,GND
19,PWR_AUX_1,63,dvdd_pads[4].pad,CF_3V3
20,/pad_61,61,inputs[5].pad,CF_IN_5
21,/pad_60,60,inputs[4].pad,CF_IN_4
22,/pad_59,59,inputs[3].pad,CF_TILE_CLK
23,/pad_58,58,inputs[2].pad,CF_IN_2
24,VDD_IO_2,57,dvdd_pads[3].pad,CF_3V3
25,GND,8,dvss_pads[0].pad,GND
26,/pad_55,55,inputs[1].pad,CF_IN_1
27,/pad_54,54,inputs[0].pad,CF_UART_RX
28,/pad_53,53,analog[1].pad,
29,/pad_52,52,analog[0].pad,
30,/pad_51,51,bidir[39].pad,CF_BIDIR_39
31,/pad_50,50,bidir[38].pad,CF_BIDIR_38
32,/pad_49,49,bidir[37].pad,CF_BIDIR_37
33,/pad_48,48,bidir[36].pad,CF_BIDIR_36
34,/pad_47,47,bidir[35].pad,CF_BIDIR_35
35,/pad_46,46,bidir[34].pad,CF_BIDIR_34
36,/pad_44,44,bidir[33].pad,CF_BIDIR_33
37,/pad_43,43,bidir[32].pad,CF_BIDIR_32
38,/pad_42,42,bidir[31].pad,CF_BIDIR_31
39,/pad_41,41,bidir[30].pad,CF_BIDIR_30
40,/pad_40,40,bidir[29].pad,CF_BIDIR_29
41,/pad_39,39,bidir[28].pad,CF_BIDIR_28
42,/pad_38,38,bidir[27].pad,CF_BIDIR_27
43,/pad_37,37,bidir[26].pad,CF_BIDIR_26
44,VDD_IO_1,36,dvdd_pads[2].pad,CF_3V3
45,GND,8,dvss_pads[0].pad,GND
46,VDD_CORE_0,34,vdd_pads[0].pad,CF_3V3
47,/pad_32,32,bidir[25].pad,CF_BIDIR_25
48,/pad_31,31,bidir[24].pad,CF_BIDIR_24
49,/pad_30,30,bidir[23].pad,CF_BIDIR_23
50,/pad_29,29,bidir[22].pad,CF_BIDIR_22
51,/pad_28,28,bidir[21].pad,CF_BIDIR_21
52,/pad_27,27,bidir[20].pad,CF_BIDIR_20
53,GND,8,dvss_pads[0].pad,GND
54,PWR_AUX_0,25,dvdd_pads[1].pad,CF_3V3
55,/pad_24,24,bidir[19].pad,CF_BIDIR_19
56,/pad_23,23,bidir[18].pad,CF_BIDIR_18
57,/pad_22,22,bidir[17].pad,CF_BIDIR_17
58,/pad_21,21,bidir[16].pad,CF_BIDIR_16
59,/pad_20,20,bidir[15].pad,CF_BIDIR_15
60,/pad_19,19,bidir[14].pad,CF_BIDIR_14
61,GND,8,dvss_pads[0].pad,GND
62,VDD_IO_0,17,dvdd_pads[0].pad,CF_3V3
63,/pad_16,16,bidir[13].pad,CF_BIDIR_13
64,/pad_15,15,bidir[12].pad,CF_BIDIR_12
65,/pad_14,14,bidir[11].pad,CF_BIDIR_11
66,/pad_13,13,bidir[10].pad,CF_BIDIR_10
67,/pad_12,12,bidir[9].pad,CF_BIDIR_9
68,/pad_11,11,bidir[8].pad,CF_BIDIR_8
69,/pad_10,10,bidir[7].pad,CF_BIDIR_7
70,/pad_9,9,bidir[6].pad,CF_BIDIR_6
71,GND,8,dvss_pads[0].pad,GND
71,GND,8,dvss_pads[0].pad,GND
71,GND,8,dvss_pads[0].pad,GND
71,GND,8,dvss_pads[0].pad,GND
