reference,pad,actual_net,symbol_alias
U102,1,/clk,clk_1
U102,2,/rst_n,rst_n_2
U102,3,GND,GND_3
U102,4,VDD_IO_3,VDD_4
U102,5,/bidir_0,bidir_0_5
U102,6,/bidir_1,bidir_1_6
U102,7,/bidir_2,bidir_2_7
U102,8,/bidir_3,bidir_3_8
U102,9,/bidir_4,bidir_4_9
U102,10,/bidir_5,bidir_5_10
U102,11,/bidir_6,bidir_6_11
U102,12,/bidir_7,bidir_7_12
U102,13,/bidir_8,bidir_8_13
U102,14,/bidir_9,bidir_9_14
U102,15,/bidir_10,bidir_10_15
U102,16,/bidir_11,bidir_11_16
U102,17,/bidir_12,bidir_12_17
U102,18,/bidir_13,bidir_13_18
U102,19,/bidir_14,bidir_14_19
U102,20,GND,GND_20
U102,21,VDD_IO_1,VDD_21
U102,22,/bidir_15,bidir_15_22
U102,23,/bidir_16,bidir_16_23
U102,24,/bidir_17,bidir_17_24
U102,25,/bidir_18,bidir_18_25
U102,26,/bidir_19,bidir_19_26
U102,27,/bidir_20,bidir_20_27
U102,28,/bidir_21,bidir_21_28
U102,29,/bidir_22,bidir_22_29
U102,30,/bidir_23,bidir_23_30
U102,31,/bidir_24,bidir_24_31
U102,32,/bidir_25,bidir_25_32
U102,33,/bidir_26,bidir_26_33
U102,34,/an_0,an_0_34
U102,35,/an_1,an_1_35
U102,36,VDD_IO_2,VDD_36
U102,37,GND,GND_37
U102,38,/an_2,an_2_38
U102,39,/an_3,an_3_39
U102,40,/in_0,in_0_40
U102,41,/in_1,in_1_41
U102,42,VDD_CORE_1,VDD_42
U102,43,GND,GND_43
U102,44,/in_2,in_2_44
U102,45,/in_3,in_3_45
U102,46,/bidir_27,bidir_27_46
U102,47,/bidir_28,bidir_28_47
U102,48,/bidir_29,bidir_29_48
U102,49,/bidir_30,bidir_30_49
U102,50,/bidir_31,bidir_31_50
U102,51,/bidir_32,bidir_32_51
U102,52,/bidir_33,bidir_33_52
U102,53,/bidir_34,bidir_34_53
U102,54,/bidir_35,bidir_35_54
U102,55,/bidir_36,bidir_36_55
U102,56,/bidir_37,bidir_37_56
U102,57,GND,MP_57
U102,58,GND,MP_58
U102,59,GND,MP_59
U102,60,GND,MP_60
U102,61,GND,MP_61
U102,62,GND,MP_62
U102,63,GND,MP_63
U101,1,/bidir_5,bidir_5_1
U101,2,/bidir_4,bidir_4_2
U101,3,/bidir_3,bidir_3_3
U101,4,/bidir_2,bidir_2_4
U101,5,/bidir_1,bidir_1_5
U101,6,/bidir_0,bidir_0_6
U101,7,/rst_n,rst_n_7
U101,8,/clk,clk_8
U101,9,VDD_IO_3,VDD_IO_9
U101,10,GND,GND_10
U101,11,VDD_IO_3,VDD_CORE_11
U101,12,/bidir_37,in_11_12
U101,13,/bidir_36,in_10_13
U101,14,/bidir_35,in_9_14
U101,15,/bidir_34,in_8_15
U101,16,/bidir_33,in_7_16
U101,17,/bidir_32,in_6_17
U101,18,GND,GND_18
U101,19,unconnected-(U101-PWR_AUX-Pad19),PWR_AUX_19
U101,20,/bidir_31,in_5_20
U101,21,/bidir_30,in_4_21
U101,22,/bidir_29,in_3_22
U101,23,/bidir_28,in_2_23
U101,24,VDD_CORE_1,VDD_IO_24
U101,25,GND,GND_25
U101,26,/bidir_27,in_1_26
U101,27,/in_3,in_0_27
U101,28,/in_2,an_1_28
U101,29,/in_1,an_0_29
U101,30,/in_0,bidir_39_30
U101,31,/an_3,bidir_38_31
U101,32,unconnected-(U101-bidir_37-Pad32),bidir_37_32
U101,33,unconnected-(U101-bidir_36-Pad33),bidir_36_33
U101,34,unconnected-(U101-bidir_35-Pad34),bidir_35_34
U101,35,unconnected-(U101-bidir_34-Pad35),bidir_34_35
U101,36,unconnected-(U101-bidir_33-Pad36),bidir_33_36
U101,37,unconnected-(U101-bidir_32-Pad37),bidir_32_37
U101,38,unconnected-(U101-bidir_31-Pad38),bidir_31_38
U101,39,unconnected-(U101-bidir_30-Pad39),bidir_30_39
U101,40,/an_2,bidir_29_40
U101,41,/an_1,bidir_28_41
U101,42,/an_0,bidir_27_42
U101,43,/bidir_26,bidir_26_43
U101,44,VDD_IO_2,VDD_IO_44
U101,45,GND,GND_45
U101,46,VDD_IO_2,VDD_CORE_46
U101,47,/bidir_25,bidir_25_47
U101,48,/bidir_24,bidir_24_48
U101,49,/bidir_23,bidir_23_49
U101,50,/bidir_22,bidir_22_50
U101,51,/bidir_21,bidir_21_51
U101,52,/bidir_20,bidir_20_52
U101,53,GND,GND_53
U101,54,VDD_IO_1,PWR_AUX_54
U101,55,/bidir_19,bidir_19_55
U101,56,/bidir_18,bidir_18_56
U101,57,/bidir_17,bidir_17_57
U101,58,/bidir_16,bidir_16_58
U101,59,/bidir_15,bidir_15_59
U101,60,/bidir_14,bidir_14_60
U101,61,GND,GND_61
U101,62,unconnected-(U101-VDD_IO-Pad62),VDD_IO_62
U101,63,/bidir_13,bidir_13_63
U101,64,/bidir_12,bidir_12_64
U101,65,/bidir_11,bidir_11_65
U101,66,/bidir_10,bidir_10_66
U101,67,/bidir_9,bidir_9_67
U101,68,/bidir_8,bidir_8_68
U101,69,/bidir_7,bidir_7_69
U101,70,/bidir_6,bidir_6_70
U101,MP,GND,MP_MP
U101,MP,GND,MP_MP
U101,MP,GND,MP_MP
U101,MP,GND,MP_MP
