module_connector,module_pin,bank,signal,carrier_ref,carrier_pad,net,breakout_ref,breakout_pad
JM1,16,13,B13_L6_N,J80,15,FPGA_B13_L6_N,J86,17
JM1,17,13,B13_L3_P,J80,18,FPGA_B13_L3_P,J86,8
JM1,18,13,B13_L6_P,J80,17,FPGA_B13_L6_P,J86,16
JM1,19,13,B13_L3_N,J80,20,FPGA_B13_L3_N,J86,9
JM1,21,13,B13_L11_N,J80,22,FPGA_B13_L11_N,J86,24
JM1,22,13,B13_L5_N,J80,21,FPGA_B13_L5_N,J86,14
JM1,23,13,B13_L11_P,J80,24,FPGA_B13_L11_P,J86,23
JM1,24,13,B13_L5_P,J80,23,FPGA_B13_L5_P,J86,13
JM1,25,13,B13_L9_N,J80,26,FPGA_B13_L9_N,J86,19
JM1,27,13,B13_L9_P,J80,28,FPGA_B13_L9_P,J86,18
JM1,31,16,B16_L22_P,J80,32,FPGA_B16_L22_P,J89,53
JM1,33,16,B16_L22_N,J80,34,FPGA_B16_L22_N,J89,54
JM1,35,16,B16_L24_N,J80,36,FPGA_B16_L24_N,J89,59
JM1,36,16,B16_L16_P,J80,35,FPGA_B16_L16_P,J89,39
JM1,37,16,B16_L24_P,J80,38,FPGA_B16_L24_P,J89,58
JM1,38,16,B16_L16_N,J80,37,FPGA_B16_L16_N,J89,40
JM1,40,16,B16_L19_N,J80,39,FPGA_B16_L19_N,J89,47
JM1,41,16,B16_L23_P,J80,42,FPGA_B16_L23_P,J89,56
JM1,42,16,B16_L19_P,J80,41,FPGA_B16_L19_P,J89,46
JM1,43,16,B16_L23_N,J80,44,FPGA_B16_L23_N,J89,57
JM1,45,16,B16_L15_P,J80,46,FPGA_B16_L15_P,J89,37
JM1,46,16,B16_L17_N,J80,45,FPGA_B16_L17_N,J89,43
JM1,47,16,B16_L15_N,J80,48,FPGA_B16_L15_N,J89,38
JM1,48,16,B16_L17_P,J80,47,FPGA_B16_L17_P,J89,42
JM1,49,16,B16_L20_P,J80,50,FPGA_B16_L20_P,J89,49
JM1,50,16,B16_L18_N,J80,49,FPGA_B16_L18_N,J89,45
JM1,51,16,B16_L20_N,J80,52,FPGA_B16_L20_N,J89,50
JM1,52,16,B16_L18_P,J80,51,FPGA_B16_L18_P,J89,44
JM1,55,16,B16_L21_P,J80,56,FPGA_B16_L21_P,J89,51
JM1,56,16,B16_L9_N,J80,55,FPGA_B16_L9_N,J89,24
JM1,57,16,B16_L21_N,J80,58,FPGA_B16_L21_N,J89,52
JM1,58,16,B16_L9_P,J80,57,FPGA_B16_L9_P,J89,23
JM1,59,16,B16_L13_P,J80,60,FPGA_B16_L13_P,J89,32
JM1,60,16,B16_L7_N,J80,59,FPGA_B16_L7_N,J89,19
JM1,61,16,B16_L13_N,J80,62,FPGA_B16_L13_N,J89,33
JM1,62,16,B16_L7_P,J80,61,FPGA_B16_L7_P,J89,18
JM1,65,16,B16_L14_P,J80,66,FPGA_B16_L14_P,J89,34
JM1,66,16,B16_L11_P,J80,65,FPGA_B16_L11_P,J89,27
JM1,67,16,B16_L14_N,J80,68,FPGA_B16_L14_N,J89,35
JM1,68,16,B16_L11_N,J80,67,FPGA_B16_L11_N,J89,28
JM1,69,16,B16_L3_N,J80,70,FPGA_B16_L3_N,J89,9
JM1,70,16,B16_L10_N,J80,69,FPGA_B16_L10_N,J89,26
JM1,71,16,B16_L3_P,J80,72,FPGA_B16_L3_P,J89,8
JM1,72,16,B16_L10_P,J80,71,FPGA_B16_L10_P,J89,25
JM1,75,16,B16_L12_P,J80,76,FPGA_B16_L12_P,J89,30
JM1,76,16,B16_L5_N,J80,75,FPGA_B16_L5_N,J89,14
