module_connector,module_pin,bank,signal
JM1,16,13,B13_L6_N
JM1,17,13,B13_L3_P
JM1,18,13,B13_L6_P
JM1,19,13,B13_L3_N
JM1,21,13,B13_L11_N
JM1,22,13,B13_L5_N
JM1,23,13,B13_L11_P
JM1,24,13,B13_L5_P
JM1,25,13,B13_L9_N
JM1,27,13,B13_L9_P
JM1,31,16,B16_L22_P
JM1,33,16,B16_L22_N
JM1,35,16,B16_L24_N
JM1,36,16,B16_L16_P
JM1,37,16,B16_L24_P
JM1,38,16,B16_L16_N
JM1,40,16,B16_L19_N
JM1,41,16,B16_L23_P
JM1,42,16,B16_L19_P
JM1,43,16,B16_L23_N
JM1,45,16,B16_L15_P
JM1,46,16,B16_L17_N
JM1,47,16,B16_L15_N
JM1,48,16,B16_L17_P
JM1,49,16,B16_L20_P
JM1,50,16,B16_L18_N
JM1,51,16,B16_L20_N
JM1,52,16,B16_L18_P
JM1,55,16,B16_L21_P
JM1,56,16,B16_L9_N
JM1,57,16,B16_L21_N
JM1,58,16,B16_L9_P
JM1,59,16,B16_L13_P
JM1,60,16,B16_L7_N
JM1,61,16,B16_L13_N
JM1,62,16,B16_L7_P
JM1,65,16,B16_L14_P
JM1,66,16,B16_L11_P
JM1,67,16,B16_L14_N
JM1,68,16,B16_L11_N
JM1,69,16,B16_L3_N
JM1,70,16,B16_L10_N
JM1,71,16,B16_L3_P
JM1,72,16,B16_L10_P
JM1,75,16,B16_L12_P
JM1,76,16,B16_L5_N
JM1,77,16,B16_L12_N
JM1,78,16,B16_L5_P
JM1,80,16,B16_L2_N
JM1,81,16,B16_L8_N
JM1,82,16,B16_L2_P
JM1,83,16,B16_L8_P
JM1,85,14,B14_L18_N
JM1,86,16,B16_L6_N
JM1,87,14,B14_L18_P
JM1,88,16,B16_L6_P
JM1,91,14,B14_L9_P
JM1,92,14,B14_L24_P
JM1,93,14,B14_L9_N
JM1,94,16,B16_L4_N
JM1,95,14,B14_L4_P
JM1,96,16,B16_L4_P
JM1,97,14,B14_L4_N
JM1,98,16,B16_L1_N
JM1,99,14,B14_L24_N
JM1,100,16,B16_L1_P
JM2,11,14,B14_L8_N
JM2,13,14,B14_L8_P
JM2,14,14,B14_L10_N
JM2,15,14,B14_L17_N
JM2,16,14,B14_L10_P
JM2,17,14,B14_L17_P
JM2,21,14,B14_L14_P
JM2,22,14,B14_L12_P
JM2,23,14,B14_L14_N
JM2,24,14,B14_L12_N
JM2,25,14,B14_L13_P
JM2,26,14,B14_L11_P
JM2,27,14,B14_L13_N
JM2,28,14,B14_L11_N
JM2,31,14,B14_L16_P
JM2,32,15,B15_L9_N
JM2,33,14,B14_L16_N
JM2,34,15,B15_L9_P
JM2,35,14,B14_L15_P
JM2,36,15,B15_L8_N
JM2,37,14,B14_L15_N
JM2,38,15,B15_L8_P
JM2,41,15,B15_L23_P
JM2,42,15,B15_L7_N
JM2,43,15,B15_L23_N
JM2,44,15,B15_L7_P
JM2,45,15,B15_L19_P
JM2,46,15,B15_L13_P
JM2,47,15,B15_L19_N
JM2,48,15,B15_L13_N
JM2,51,15,B15_L11_P
JM2,52,15,B15_L14_P
JM2,53,15,B15_L11_N
JM2,54,15,B15_L14_N
JM2,55,15,B15_L3_P
JM2,56,15,B15_L12_P
JM2,57,15,B15_L3_N
JM2,58,15,B15_L12_N
JM2,61,15,B15_L17_N
JM2,62,15,B15_L10_N
JM2,63,15,B15_L17_P
JM2,64,15,B15_L10_P
JM2,65,15,B15_L16_P
JM2,66,15,B15_L18_P
JM2,67,15,B15_L16_N
JM2,68,15,B15_L18_N
JM2,71,15,B15_L1_P
JM2,72,15,B15_L20_P
JM2,73,15,B15_L1_N
JM2,74,15,B15_L20_N
JM2,75,15,B15_L2_N
JM2,76,15,B15_L15_P
JM2,77,15,B15_L2_P
JM2,78,15,B15_L15_N
JM2,81,15,B15_L4_P
JM2,82,15,B15_L6_N
JM2,83,15,B15_L4_N
JM2,84,15,B15_L6_P
JM2,85,15,B15_L5_N
JM2,86,15,B15_L21_P
JM2,87,15,B15_L5_P
JM2,88,15,B15_L21_N
JM2,89,15,B15_IO0
JM2,92,15,B15_L24_N
JM2,94,15,B15_L24_P
JM2,96,15,B15_L22_N
JM2,98,15,B15_L22_P
JM2,100,15,B15_IO25
JM3,1,13,B13_L17_P
JM3,2,13,B13_L14_P
JM3,3,13,B13_L17_N
JM3,4,13,B13_L14_N
JM3,37,13,B13_L10_P
JM3,38,13,B13_L16_P
JM3,39,13,B13_L10_N
JM3,40,13,B13_L16_N
JM3,41,13,B13_L15_P
JM3,42,13,B13_L1_P
JM3,43,13,B13_L15_N
JM3,44,13,B13_L1_N
JM3,47,14,B14_L5_P
JM3,48,13,B13_L4_P
JM3,49,14,B14_L5_N
JM3,50,13,B13_L4_N
JM3,51,14,B14_L20_P
JM3,52,13,B13_L2_N
JM3,53,14,B14_L20_N
JM3,54,13,B13_L2_P
JM3,57,13,B13_L13_P
JM3,58,13,B13_L12_P
JM3,59,13,B13_L13_N
JM3,60,13,B13_L12_N
